Fuel,2025,2024,2023,2022,RTO Office
STRONG HYBRID EV,42,27,0,0,MALEGAON_-_MH41
CNG ONLY,1309,1473,1119,556,MIRA_BHAYANDAR_-_MH58
DIESEL,1950,2217,1927,1534,MIRA_BHAYANDAR_-_MH58
DIESEL/HYBRID,7,13,4,0,MIRA_BHAYANDAR_-_MH58
DUAL DIESEL/CNG,0,0,0,1,MIRA_BHAYANDAR_-_MH58
ELECTRIC(BOV),82,651,944,864,MIRA_BHAYANDAR_-_MH58
ETHANOL,6,4,0,0,MIRA_BHAYANDAR_-_MH58
PETROL,12880,17419,16141,15057,MIRA_BHAYANDAR_-_MH58
PETROL/CNG,1707,1802,1473,1445,MIRA_BHAYANDAR_-_MH58
PETROL(E20)/CNG,226,0,0,0,MIRA_BHAYANDAR_-_MH58
PETROL(E20)/HYBRID,55,0,0,0,MIRA_BHAYANDAR_-_MH58
PETROL/ETHANOL,6013,785,416,0,MIRA_BHAYANDAR_-_MH58
PETROL/HYBRID,253,474,507,303,MIRA_BHAYANDAR_-_MH58
PURE EV,562,231,0,0,MIRA_BHAYANDAR_-_MH58
STRONG HYBRID EV,169,98,0,0,MIRA_BHAYANDAR_-_MH58
CNG ONLY,772,970,571,1358,MUMBAI_CENTRAL-MH01
DIESEL,5006,6067,6294,6492,MUMBAI_CENTRAL-MH01
DIESEL/HYBRID,256,169,109,31,MUMBAI_CENTRAL-MH01
ELECTRIC(BOV),1221,2802,3724,3740,MUMBAI_CENTRAL-MH01
ETHANOL,10,2,0,0,MUMBAI_CENTRAL-MH01
NOT APPLICABLE,7,12,7,4,MUMBAI_CENTRAL-MH01
PETROL,39548,49008,46970,46508,MUMBAI_CENTRAL-MH01
PETROL/CNG,7464,6529,5596,5134,MUMBAI_CENTRAL-MH01
PETROL(E20)/CNG,728,0,0,0,MUMBAI_CENTRAL-MH01
PETROL(E20)/HYBRID,208,0,0,0,MUMBAI_CENTRAL-MH01
PETROL/ETHANOL,13997,1926,857,0,MUMBAI_CENTRAL-MH01
PETROL/HYBRID,1516,2504,3177,1872,MUMBAI_CENTRAL-MH01
PLUG-IN HYBRID EV,4,3,0,0,MUMBAI_CENTRAL-MH01
PURE EV,3696,796,0,0,MUMBAI_CENTRAL-MH01
STRONG HYBRID EV,1664,1109,0,0,MUMBAI_CENTRAL-MH01
CNG ONLY,4195,3819,2918,2385,MUMBAI_EAST-MH03
DIESEL,5440,5475,5710,5315,MUMBAI_EAST-MH03
DIESEL/HYBRID,95,81,28,13,MUMBAI_EAST-MH03
ELECTRIC(BOV),429,1729,2683,2706,MUMBAI_EAST-MH03
ETHANOL,4,5,0,0,MUMBAI_EAST-MH03
PETROL,44454,52205,47785,48056,MUMBAI_EAST-MH03
PETROL/CNG,6704,7011,4420,4296,MUMBAI_EAST-MH03
PETROL(E20)/CNG,771,0,0,1,MUMBAI_EAST-MH03
PETROL(E20)/HYBRID,161,0,0,0,MUMBAI_EAST-MH03
PETROL/ETHANOL,17032,2716,1429,0,MUMBAI_EAST-MH03
PETROL/HYBRID,898,1499,1941,1132,MUMBAI_EAST-MH03
PLUG-IN HYBRID EV,3,1,0,0,MUMBAI_EAST-MH03
PURE EV,3749,1825,0,0,MUMBAI_EAST-MH03
STRONG HYBRID EV,994,572,0,0,MUMBAI_EAST-MH03
